,A̱o,Trimestre,Ingresos (miles de pesos),Periodo
0,2022,4,72443482.9891497,Oct-Dic 2022
1,2022,3,64086784.3305304,Jul-Sept 2022
2,2022,2,60419500.6232803,Abr-Jun 2022
3,2022,1,55219313.0146503,Ene-Mar 2022
4,2021,4,45467887.16501248,Oct-Dic 2021
5,2021,3,42999944.292822465,Jul-Sept 2021
6,2021,2,38239666.63354247,Abr-Jun 2021
7,2021,1,36676371.36239245,Ene-Mar 2021
8,2020,4,33539702.716311768,Oct-Dic 2020
9,2020,3,31997444.530699246,Jul-Sept 2020
10,2020,2,32102475.991463635,Abr-Jun 2020
11,2020,1,29946216.452049132,Ene-Mar 2020
12,2019,4,24169250.699015297,Oct-Dic 2019
13,2019,3,21652748.444642507,Jul-Sept 2019
14,2019,2,20743117.694006097,Abr-Jun 2019
15,2019,1,20207413.77085243,Ene-Mar 2019
16,2018,4,16637686.589009605,Oct-Dic 2018
17,2018,3,15410980.692582969,Jul-Sept 2018
18,2018,2,14319467.460713817,Abr-Jun 2018
19,2018,1,13171459.230893355,Ene-Mar 2018
20,2017,4,11226127.38858,Oct-Dic 2017
21,2017,3,10065997.86215,Jul-Sept 2017
22,2017,2,9678646.92829,Abr-Jun 2017
23,2017,1,8701201.42137,Ene-Mar 2017
24,2016,4,7483980.393279007,Oct-Dic 2016
25,2016,3,6912441.538856647,Jul-Sept 2016
26,2016,2,6534240.597500004,Abr-Jun 2016
27,2016,1,5936844.886499999,Ene-Mar 2016
28,2015,4,5376899.206,Oct-Dic 2015
29,2015,3,5153738.8843600005,Jul-Sept 2015
30,2015,2,4701790.719660001,Abr-Jun 2015
31,2015,1,4876385.315070001,Ene-Mar 2015
32,2014,4,3950440.78037,Oct-Dic 2014
33,2014,3,3478637.7427996206,Jul-Sept 2014
34,2014,2,3270816.20391,Abr-Jun 2014
35,2014,1,2984054.2087800005,Ene-Mar 2014
